contract,ground_truth_category,tool,rule,detected_category,severity
0x7288e516e161c6a2b5818aafd4f38aac14a06885,,confuzzius,SWC-110,UNMAPPED,Medium
0x7288e516e161c6a2b5818aafd4f38aac14a06885,,confuzzius,SWC-110,UNMAPPED,Medium
0x7288e516e161c6a2b5818aafd4f38aac14a06885,,confuzzius,SWC-110,UNMAPPED,Medium
0xed7e27a1d9e6f33482627ffdc8f27eea1b9b2366,,confuzzius,SWC-101,arithmetic,High
0xd08c04237a3475160de6d790cd177833673b66f3,,confuzzius,SWC-110,UNMAPPED,Medium
0xd08c04237a3475160de6d790cd177833673b66f3,,confuzzius,SWC-110,UNMAPPED,Medium
0xd08c04237a3475160de6d790cd177833673b66f3,,confuzzius,SWC-110,UNMAPPED,Medium
0x2cd0c0dfbf7cee529cf25d33ec11e2362b3ff259,,confuzzius,SWC-110,UNMAPPED,Medium
0x2cd0c0dfbf7cee529cf25d33ec11e2362b3ff259,,confuzzius,SWC-110,UNMAPPED,Medium
0x2cd0c0dfbf7cee529cf25d33ec11e2362b3ff259,,confuzzius,SWC-110,UNMAPPED,Medium
0xcb6aecfb09688915cf7f9cb7ff581188a4cf4389,,confuzzius,SWC-120,bad_randomness,Low
0xcb6aecfb09688915cf7f9cb7ff581188a4cf4389,,confuzzius,SWC-120,bad_randomness,Low
0x4f22dc2b50329e0e58e695c5db55941aa36ba307,,confuzzius,SWC-110,UNMAPPED,Medium
0x4f22dc2b50329e0e58e695c5db55941aa36ba307,,confuzzius,SWC-110,UNMAPPED,Medium
0x3a300630867fcf33568ae00b0b15fc826b7720a0,,confuzzius,SWC-110,UNMAPPED,Medium
0x3a300630867fcf33568ae00b0b15fc826b7720a0,,confuzzius,SWC-110,UNMAPPED,Medium
0x3a300630867fcf33568ae00b0b15fc826b7720a0,,confuzzius,SWC-110,UNMAPPED,Medium
0xd90cbae11a43636a29a62210c1a17fa7c027d2d7,,confuzzius,SWC-110,UNMAPPED,Medium
0xd90cbae11a43636a29a62210c1a17fa7c027d2d7,,confuzzius,SWC-110,UNMAPPED,Medium
0x2ba6fc095b0348b8f256306830279d5c41872bad,,confuzzius,SWC-110,UNMAPPED,Medium
0xd6c6160cd8726629c836c29c4d310336dfe52297,,confuzzius,SWC-114,front_running,Medium
0x76e3ae528b4786a51c21a0932f259f0ff12af7d5,,confuzzius,SWC-114,front_running,Medium
0x76e3ae528b4786a51c21a0932f259f0ff12af7d5,,confuzzius,SWC-114,front_running,Medium
0xcb6aecfb09688915cf7f9cb7ff581188a4cf4389,,mythril,SWC-116,time_manipulation,Low
0x0f6e7c08e95e5d88164015cbc75a0f463961ef35,,mythril,SWC-110,UNMAPPED,Medium
0x2cd0c0dfbf7cee529cf25d33ec11e2362b3ff259,,mythril,SWC-101,arithmetic,High
0x359d3a507418814f00755063ee49204121f8d3e1,,mythril,SWC-115,access_control,Low
0x359d3a507418814f00755063ee49204121f8d3e1,,mythril,SWC-115,access_control,Low
0x359d3a507418814f00755063ee49204121f8d3e1,,mythril,SWC-101,arithmetic,High
0x2ba6fc095b0348b8f256306830279d5c41872bad,,mythril,SWC-110,UNMAPPED,Medium
0x2ba6fc095b0348b8f256306830279d5c41872bad,,mythril,SWC-116,time_manipulation,Low
0x7427b61606f94fe209517330a0d9ada90d1b0eb0,,mythril,SWC-110,UNMAPPED,Medium
0x7af204f6675b956687e8828237f2131a45b5881f,,mythril,SWC-110,UNMAPPED,Medium
0x7af204f6675b956687e8828237f2131a45b5881f,,mythril,SWC-101,arithmetic,High
0x7af204f6675b956687e8828237f2131a45b5881f,,mythril,SWC-101,arithmetic,High
0x7af204f6675b956687e8828237f2131a45b5881f,,mythril,SWC-101,arithmetic,High
0x7af204f6675b956687e8828237f2131a45b5881f,,mythril,SWC-101,arithmetic,High
0x7af204f6675b956687e8828237f2131a45b5881f,,mythril,SWC-101,arithmetic,High
0x7af204f6675b956687e8828237f2131a45b5881f,,mythril,SWC-101,arithmetic,High
0x7af204f6675b956687e8828237f2131a45b5881f,,mythril,SWC-101,arithmetic,High
0x7af204f6675b956687e8828237f2131a45b5881f,,mythril,SWC-101,arithmetic,High
0x8e7740d64a9276c33166e2f41d0b1b7fdd75bcea,,mythril,SWC-101,arithmetic,High
0x8e7740d64a9276c33166e2f41d0b1b7fdd75bcea,,mythril,SWC-101,arithmetic,High
0x8e7740d64a9276c33166e2f41d0b1b7fdd75bcea,,mythril,SWC-101,arithmetic,High
0x8e7740d64a9276c33166e2f41d0b1b7fdd75bcea,,mythril,SWC-101,arithmetic,High
0x90532dbd8cb348edb5a9cf36fe1e92737c23aaa1,,mythril,SWC-110,UNMAPPED,Medium
0xdc1e5ed1a1c2fb6fae71015c0d681c068c4da9d4,,mythril,SWC-115,access_control,Low
0xdc1e5ed1a1c2fb6fae71015c0d681c068c4da9d4,,mythril,SWC-101,arithmetic,High
0xed7e27a1d9e6f33482627ffdc8f27eea1b9b2366,,mythril,SWC-101,arithmetic,High
0xd90cbae11a43636a29a62210c1a17fa7c027d2d7,,mythril,SWC-110,UNMAPPED,Medium
0x3a300630867fcf33568ae00b0b15fc826b7720a0,,mythril,SWC-101,arithmetic,High
0x67433187db1e57f66e88880b6be833f6759362b1,,mythril,SWC-110,UNMAPPED,Medium
0xbe32cfdb635d214cf4aa9aca827e49f331334727,,mythril,SWC-110,UNMAPPED,Medium
0xbe32cfdb635d214cf4aa9aca827e49f331334727,,mythril,SWC-101,arithmetic,High
0xbe32cfdb635d214cf4aa9aca827e49f331334727,,mythril,SWC-101,arithmetic,High
0x94642736a1fee42c8295a9d4b4d6c5d941cee4c6,,mythril,SWC-101,arithmetic,High
